[2025-07-08 17:56:51] [INFO    ] discord.client: logging in using static token
[2025-07-08 17:56:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'BOT VC', 'primary_guild': None, 'mfa_enabled': False, 'id': '1390952388088827945', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3149', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd62ae97a9cc8af2bbf6cca2902d6a2d6', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '719486702271463454'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'sydney', 'india', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1390952388088827945', 'flags': 27828224}, '_trace': ['["gateway-prd-us-east1-c-hjfv",{"micros":107026,"calls":["id_created",{"micros":535,"calls":[]},"session_lookup_time",{"micros":3587,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-92",{"micros":102517,"calls":["start_session",{"micros":55874,"calls":["discord-api-prd-canary-rpc-76c548dc4b-c9r78",{"micros":41001,"calls":["get_user",{"micros":5414},"get_guilds",{"micros":3891},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":6},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":4546},"apex_experiments",{"micros":1599},"user_activities",{"micros":4},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":23,"calls":[]},"presence_started",{"micros":11155,"calls":[]},"guilds_started",{"micros":62,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":35371,"calls":[]},"connect_finished",{"micros":35375,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-08 17:56:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-08 17:56:53] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d62ae97a9cc8af2bbf6cca2902d6a2d6).
[2025-07-08 17:56:53] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-08 17:56:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'application_id': None, 'region': 'deprecated', 'max_members': 2500000, 'lazy': True, 'incidents_data': None, 'embedded_activities': [], 'verification_level': 0, 'profile': None, 'explicit_content_filter': 0, 'max_video_channel_users': 25, 'vanity_url_code': None, 'premium_subscription_count': 0, 'splash': None, 'emojis': [], 'default_message_notifications': 0, 'owner_configured_content_level': 0, 'activity_instances': [], 'stickers': [], 'system_channel_id': '719486702271463457', 'latest_onboarding_question_id': None, 'id': '719486702271463454', 'name': "arifwahh_'s server", 'large': False, 'rules_channel_id': None, 'unavailable': False, 'public_updates_channel_id': None, 'threads': [], 'banner': None, 'nsfw_level': 0, 'nsfw': False, 'description': None, 'icon': '35669a2f205b86ab51014a2ac0577ac9', 'application_command_counts': {}, 'guild_scheduled_events': [], 'owner_id': '719486350730068029', 'stage_instances': [], 'members': [{'user': {'username': 'BOT VC', 'public_flags': 0, 'primary_guild': None, 'id': '1390952388088827945', 'global_name': None, 'display_name': None, 'discriminator': '3149', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T07:18:34.118000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '719486702271463454', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'voice_states': [], 'features': [], 'hub_type': None, 'moderator_reporting': None, 'soundboard_sounds': [], 'member_count': 2, 'max_stage_video_channel_users': 50, 'premium_features': None, 'premium_progress_bar_enabled': False, 'discovery_splash': None, 'inventory_settings': None, 'premium_tier': 0, 'afk_channel_id': None, 'preferred_locale': 'en-US', 'version': 1751699202680, 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '719486702271463455', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '719486702271463456', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '719486702271463455', 'name': 'general', 'last_message_id': '1391422228134105188', 'id': '719486702271463457', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '719486702271463456', 'name': 'General', 'last_message_id': None, 'id': '719486702724579328', 'flags': 0, 'bitrate': 64000}], 'presences': [], 'system_channel_flags': 0, 'mfa_level': 0, 'joined_at': '2025-07-05T07:18:34.118000+00:00', 'home_header': None, 'safety_alerts_channel_id': None, 'afk_timeout': 300}}
[2025-07-08 17:56:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-08 17:56:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'd1bf0289ad1336211a2c2a849e2b10bc', 'members': [{'user': {'username': 'arifwahh_4936', 'public_flags': 0, 'primary_guild': None, 'id': '719486350730068029', 'global_name': 'arifwahh_', 'display_name': 'arifwahh_', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-06-08T09:43:17.299000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'BOT VC', 'public_flags': 0, 'primary_guild': None, 'id': '1390952388088827945', 'global_name': None, 'display_name': None, 'discriminator': '3149', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T07:18:34.118000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '719486702271463454', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-08 17:56:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-08 17:56:53] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 719486702271463454.
[2025-07-08 17:56:55] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-08 17:56:55] [DEBUG   ] discord.client: Dispatching event ready
